Asset_ID,Make,Model,Serial,Hours,Last_Reported
08625,DYNAPAC,CP1200,10000510ARB008625,103.2,2026-03-16T20:01
08629,DYNAPAC,CP1200,10000510CRB008629,83.4,2026-03-16T20:01
08655,DYNAPAC,CP1200,10000510VRB008655,77.0,2026-03-16T20:01
11,BOBCAT,T650,B5FF15592,257.4,2026-03-16T20:01
12,BOBCAT,T650,B5FF15593,287.7,2026-03-16T20:01
302,LEEBOY,420,107583,218.6,2026-03-16T20:01
317,SAKAI,SW354,1SW73-30220,85.9,2026-03-17T00:35
318,LEEBOY,SCREEN7X20,44099,571.8,2026-03-16T20:01
321,DYNAPAC,CC1200,10000446VNA034103,314.0,2026-03-17T00:32
322,DYNAPAC,CC1300,10000470KNA034069,482.4,2026-03-16T20:01
325,SAKAI,SV414D,3SV59-60343,219.6,2026-03-16T20:01
329,DYNAPAC,CA1500D,10000160VPA035570,297.6,2026-03-16T19:26
331,DYNAPAC,CC1300,10000470CNA033533,,
337,DYNAPAC,CA1500,10000160VPA035696,254.2,2026-03-16T19:14
40388,DYNAPAC,CC1400VI,10000628CRA040388,483.4,2026-03-16T20:01
40416,DYNAPAC,CC1400Vi,10000628CRA040416,408.9,2026-03-16T23:32
416,BOBCAT,T740,B3CA23870,,
417,BOBCAT,E42,B4GM11780B,144.0,2026-03-16T19:12
418,BOBCAT,S76,B4CD21030,174.7,2026-03-16T23:42
4705,BASIC,700,70024705,36.0,2026-03-16T23:42
505,LEEBOY,685C,169152,412.6,2026-03-16T20:01
509,LEEBOY,685D,356443,359.7,2026-03-16T20:01
6450.92,INTERNATIONAL,4300,7JL558060,86.2,2026-02-28T18:17
66475,LEEBOY,8608,466475,1191.3,2026-03-16T20:01
S76-2,BOBCAT,S76,B4CD21248,144.3,2026-03-16T23:33
CC1300-2,DYNAPAC,CC1300,10000470EPA036532,41.9,2026-03-16T23:31
