synced_at,asset_id,asset_name,make,model,serial,hours,last_reported,latitude,longitude,location_source,visionlink_geofence,matched_job_id,matched_job_name,state,status,notes
2026-04-16T07:00:00,12,BOBCAT T650 Compact Track Loader,BOBCAT,T650,B5FF15593,320.1,04/15/2026 20:01:13 EDT,,,visionlink,,,,,reporting,"232 NC Highway 343 N, Courthouse, North Carolina 27921, United States"
2026-04-16T07:00:00,40388,DYNAPAC CC1400VI Roller,DYNAPAC,CC1400VI,10000628CRA040388,606.8,04/15/2026 20:01:16 EDT,,,visionlink,,,,,reporting,"224 Clearwater Dr, Smithfield, North Carolina 27577-7284, United States"
2026-04-16T07:00:00,08625,DYNAPAC CP1200 Compactor,DYNAPAC,CP1200,10000510ARB008625,110.0,04/15/2026 20:01:08 EDT,,,visionlink,,,,,reporting,"915 Highway 124, Braselton, Georgia 30517-3412, United States"
2026-04-16T07:00:00,08655,DYNAPAC CP1200 Compactor,DYNAPAC,CP1200,10000510VRB008655,79.2,04/15/2026 20:01:08 EDT,,,visionlink,,,,,reporting,"Pamela Greenway Dr, Warner Robins, Georgia 31047, United States"
2026-04-16T07:00:00,509,LEEBOY 685D Motorgrader,LEEBOY,685D,356443,370.4,04/13/2026 20:01:14 EDT,,,visionlink,,,,,not_expected_to_report,"200 Three Rivers Dr NE, Rome, Georgia 30161-2300, United States"
2026-04-16T07:00:00,325,SAKAI SV414D Base Roller,SAKAI,SV414D,3SV59-60343,252.5,04/15/2026 20:01:14 EDT,,,visionlink,,,,,reporting,"232 NC Highway 343 N, Camden, North Carolina 27921, United States"
2026-04-16T07:00:00,6450.92,INTERNATIONAL TRUCKS 4300 Water Truck,INTERNATIONAL TRUCKS,4300,7JL558060,93.8,04/15/2026 19:17:15 EDT,,,visionlink,,,,,reporting,"360 360 piney grove rd kathleen, Warner Robins, Georgia 31047, United States"
2026-04-16T07:00:00,318,LEEBOY SCREEN7X20 Asphalt Roller,LEEBOY,SCREEN7X20,44099,614.5,04/15/2026 20:01:10 EDT,,,visionlink,,,,,reporting,"915 Highway 124, Braselton, Georgia 30517-3412, United States"
2026-04-16T07:00:00,322,DYNAPAC CC1300 Asphalt Roller,DYNAPAC,CC1300,10000470KNA034069,519.4,04/15/2026 20:01:09 EDT,,,visionlink,,,,,reporting,"915 Highway 124, Braselton, Georgia 30517-3412, United States"
2026-04-16T07:00:00,505,LEEBOY 685C Motor Grader,LEEBOY,685C,169152,428.1,04/15/2026 20:01:19 EDT,,,visionlink,,,,,reporting,"222 NC Highway 343 N, Courthouse, North Carolina 27921, United States"
