Job #,JOB NAME and MAP,State,Project type,Contractor,Pending Start Date,Finish Date,Gross Profit,GP %, CONTRACT AMOUNT , Actual To Date ,LEFT TO BILL, Mill / Misc. Days ,mill/misc dollar value ,, Curb Installation Days , Curb LF , Cubic Yards Curb ,curb dollar value,, Stone Base Days , Stone Base tons ,Stone Base Dollar Value,, Asphalt Paving Days , Asphalt Paving Tons ,Asphalt Paving dollar value,, Surface , Surface Dollar value ,, Field Events , Field Events Days , Cubic Yards FE Concrete ,FE Dollar Value,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equipment costs,,Mobilization costs,
25-177,Brewer High School, AL,TRACK PAVING,Limestone Building,2026,,"$96,307.50",25.00%,"$385,230.00",,"$385,230.00",,,,,,,,,9,"1,881","$106,972.36",,3,"1,097","$278,257.64",,No,,,No,,,,,b9 p3,"$12,102",,9700+9500
25-141,Camden County High School,NC,TURN KEY,Heartland construction,2026,,"$173,270.50",25.00%,"$693,082.00",,"$693,082.00",,,,4,"1,312",24.29,"$45,040.00",,16,"2,469","$131,804.44",,4,"1,080","$306,519.56",,No,,,Yes,14,,"$149,380.00",,"b16, p4",19360,,14500+12500
25-161,Camden County Sportsplex- Camden,SC,TRACK UPGRADES,Beynon,2026,recieved verbal,"$76,844.00",25.00%,"$307,376.00",,"$307,376.00",3,"$33,440.76",,,,,,,8,425,"$25,602.15",,2,1168,"$248,332.09",,No,,,No,,,,,"m3, b8, p2",12098,,9100+9500
25-262,Clayton County High School,NC,SCOPE NOT SET,Fredsmith,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-130,Evans High School Tennis- Evans,GA,Tennis Courts,Carolina Sports Concepts,2026,,"$57,824.75",25.00%,"$231,299.00", $ -   ,"$231,299.00",5,"$10,800.00",,,,,,,5,901,"$42,293.00",,2,563,"$118,806.00",,Yes," $ 59,400.00 ",,No,,,,,"b5,p2","$7,262",,7750+9500
25-242,Fort Mill Middle School/ Flint Hill,SC,PAVE ONLY,Tarkett,2026,,"$43,908.00",25.00%,"$175,632.00",,"$175,632.00",,,,,,,,,,,,,2,961,"$175,632.00",,No,,,No,,,,,p2,3232,,"$12,500.00"
25-271,Hewitt Trussville High School, AL,MILL & CAP,Warner's Athletic,2026,,"$67,095.50",25.00%,"$268,382.00",,"$268,382.00",4,"$43,557.26",,,,,,,,,,,3,865,"$224,824.74",,No,,,No,,,,,"m4, b3, p3",10490,,"$8,500.00"
25-301,Johnson Elementary School, AL,TRACK PAVING,Geo Surfaces,2027,,"$87,678.25",25.00%,"$350,713.00",,"$350,713.00",,,,,,,,,11,1857,"$137,061.20",,3,1238,"$213,681.80",,No,,,No,,,,,"b11, p3",13714,,"$14,500.00"
25-254,Lakewood High School-,SC,TRACK UPGRADES,Baseline sports,2026,,"$107,027.50",25.00%,"$428,110.00",,"$428,110.00",,,,10,3200,59.25,"$83,040.00",,11,1683,"$106,522.86",,2,982,"$238,547.14",,No,,,No,,,,,b11 p2,"$12,098",,"$19,500.00"
